Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",173.390000,-116.320000,270.000000,bottom
"C2","0.1u","C_0603_1608Metric",173.400000,-112.400000,270.000000,bottom
"C3","10uF","C_0805_2012Metric",114.650000,-116.970000,270.000000,bottom
"C4","10uF","C_0805_2012Metric",114.500000,-136.000000,90.000000,bottom
"C5","10uF","C_0805_2012Metric",127.450000,-116.145000,270.000000,bottom
"C6","0.01uF","C_0603_1608Metric",118.000000,-133.000000,180.000000,bottom
"C7","0.1uF","C_0603_1608Metric",148.850000,-128.100000,180.000000,bottom
"C8","10uF","C_0805_2012Metric",121.500000,-136.000000,90.000000,bottom
"C9","10u","CP_Elec_6.3x3",133.975000,-113.925000,0.000000,bottom
"C10","0.1uF","C_0603_1608Metric",141.800000,-116.300000,180.000000,bottom
"C11","0.1u","C_0603_1608Metric",127.015000,-122.585000,90.000000,bottom
"C12","0.1u","C_0603_1608Metric",144.000000,-136.400000,0.000000,bottom
"C13","0.1u","C_0603_1608Metric",144.020000,-126.470000,0.000000,bottom
"C14","0.1u","C_0603_1608Metric",126.980000,-129.800000,180.000000,bottom
"C15","0.1u","C_0603_1608Metric",126.990000,-131.390000,180.000000,bottom
"C17","0.1u","C_0603_1608Metric",144.000000,-138.100000,0.000000,bottom
"C18","0.1u","C_0603_1608Metric",126.970000,-135.330000,180.000000,bottom
"C19","2.2u","C_0603_1608Metric",126.970000,-133.690000,180.000000,bottom
"C20","8p","C_0603_1608Metric",144.000000,-128.200000,180.000000,bottom
"C21","1uF","C_0603_1608Metric",148.700000,-133.225000,180.000000,bottom
"C22","1uF","C_0603_1608Metric",148.775000,-122.625000,180.000000,bottom
"C23","1uF","C_0603_1608Metric",148.775000,-116.625000,180.000000,bottom
"C24","8p","C_0603_1608Metric",144.000000,-134.700000,0.000000,bottom
"C25","1uF","C_0603_1608Metric",148.700000,-134.925000,180.000000,bottom
"C26","0.1uF","C_0603_1608Metric",148.775000,-124.625000,180.000000,bottom
"C27","1uF","C_0603_1608Metric",148.775000,-118.625000,180.000000,bottom
"C28","1uF","C_0603_1608Metric",148.775000,-112.625000,180.000000,bottom
"C29","0.1uF","C_0603_1608Metric",123.315000,-122.565000,90.000000,bottom
"C30","1uF","C_0603_1608Metric",148.700000,-136.625000,180.000000,bottom
"C31","1uF","C_0603_1608Metric",148.700000,-131.425000,180.000000,bottom
"C32","1uF","C_0603_1608Metric",148.775000,-120.625000,180.000000,bottom
"C33","1uF","C_0603_1608Metric",148.775000,-114.625000,180.000000,bottom
"C34","0.1uF","C_0603_1608Metric",143.080000,-122.300000,90.000000,bottom
"D1","D_Schottky","D_SOD-123",124.950000,-112.995000,180.000000,bottom
"F1","Fuse","Fuse_0603_1608Metric",117.000000,-129.400000,180.000000,bottom
"IC1","XC6194BANNER-G","XC6194BANNERG",144.375000,-113.750000,90.000000,bottom
"J2","TypeC16Pin","TypeC_16Pin",105.050000,-126.325000,90.000000,bottom
"J3","LCD ST7302 122x250 ZJY213S0700TG01 ","24pin0.8mm",153.650000,-134.150000,90.000000,bottom
"L1","100uH","L_Taiyo-Yuden_MD-5050",119.140000,-115.000000,0.000000,bottom
"R1","1k","R_0603_1608Metric",171.700000,-112.400000,270.000000,bottom
"R2","10k","R_0603_1608Metric",125.215000,-122.565000,90.000000,bottom
"R3","5.1k","R_0603_1608Metric",117.000000,-127.600000,0.000000,bottom
"R4","5.1k","R_0603_1608Metric",117.000000,-122.500000,0.000000,bottom
"R5","10k","R_0603_1608Metric",120.600000,-118.720000,0.000000,bottom
"R6","27","R_0603_1608Metric",117.000000,-125.900000,180.000000,bottom
"R7","27","R_0603_1608Metric",117.000000,-124.200000,0.000000,bottom
"R8","1k","R_0603_1608Metric",141.400000,-134.000000,90.000000,bottom
"R9","330","R_0603_1608Metric",173.625000,-133.425000,180.000000,bottom
"R10","100k","R_0603_1608Metric",144.630000,-122.275000,270.000000,bottom
"R11","0","R_0603_1608Metric",143.100000,-119.130000,270.000000,bottom
"R12","0","R_0603_1608Metric",144.650000,-119.105000,270.000000,bottom
"R13","10k","R_0603_1608Metric",148.800000,-126.625000,0.000000,bottom
"R14","0","R_0603_1608Metric",143.820000,-124.820000,180.000000,bottom
"R15","1k","R_0603_1608Metric",133.160000,-136.640000,270.000000,bottom
"R16","1k","R_0603_1608Metric",134.590000,-136.640000,270.000000,bottom
"R17","1k","R_0603_1608Metric",138.880000,-136.640000,270.000000,bottom
"R18","1k","R_0603_1608Metric",137.450000,-136.640000,270.000000,bottom
"R19","1k","R_0603_1608Metric",136.020000,-136.640000,270.000000,bottom
"SW1","RST","SKRPACE010",176.260000,-115.280000,0.000000,bottom
"SW2","BOOT","SKRPACE010",176.300000,-111.400000,0.000000,bottom
"U1","HT7733A/XC9111A331","SOT-23",124.300000,-116.120000,0.000000,bottom
"U2","LD3985M33R_SOT23","SOT-23-5",117.670000,-135.930000,0.000000,bottom
"U3","RP2040","RP2040-QFN-56",134.050000,-129.790000,270.000000,bottom
"U5","W25Q16JVUX","SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm",124.365000,-125.660000,180.000000,bottom
"U6","SD3077","SO-8_5.3x6.2mm_P1.27mm",134.310000,-121.210000,0.000000,bottom
"U7","LDSW_SiP32431","SOT-363_SC-70-6",121.650000,-132.475000,270.000000,bottom
"U8","LDSW_SiP32431","SOT-363_SC-70-6",140.375000,-113.725000,90.000000,bottom
"Y1","Crystal_GND3","FA238V",145.000000,-130.200000,270.000000,bottom
